,7-23,7-24,7-25,7-26,7-27,7-28,7-29
Club Fans SS mid,3640963254.0,4014094302.0,4376527071.0,4712528717.0,5038646304.0,5329779803.0,5610286976.0
Club Fans SS floor,3331664942.0,3607791401.0,3891986934.0,4196200175.0,4475081333.0,4779321045.0,5229317505.0
Club Fans S+ mid,2501531544.0,2764762083.0,3036029864.0,3310774591.0,3589631790.0,3865193721.0,4132369064.0
Club Fans S+ floor,2220181950.0,2509551362.0,2801723742.0,3071747523.0,3313302216.0,3553820844.0,3789187201.0
Club Fans S mid,1721490638.0,1942615759.0,2145413292.0,2365966262.0,2586315426.0,2801661872.0,3004684782.0
Club Fans S floor,1495391699.0,1664992865.0,1852842730.0,2085775352.0,2296585984.0,2540685599.0,2769334884.0
Club Fans A+ mid,903529900.0,1042634970.0,1185862070.0,1320225439.0,1453448250.0,1587592213.0,1720456793.0
Club Fans A+ floor,775021504.0,899080243.0,1020384255.0,1140913750.0,1263611604.0,1392259984.0,1526795117.0
Club Fans A mid,612912487.0,716230680.0,809901273.0,906560568.0,1004309114.0,1097820294.0,1190426554.0
Club Fans A floor,534201852.0,616791832.0,702535738.0,786412571.0,870535185.0,964234590.0,1052047640.0
Club Fans B+ mid,345656135.0,389469114.0,433020384.0,477262352.0,520005138.0,568572318.0,615918096.0
Club Fans B+ floor,283488038.0,318636106.0,352375565.0,385969168.0,419281651.0,459207049.0,497593396.0
Club Fans B mid,236907405.0,266851726.0,295544160.0,322132206.0,349484256.0,380482376.0,412778896.0
Club Fans B floor,195313753.0,220236751.0,243542515.0,267021052.0,289715516.0,316130375.0,340618753.0
Club day_to_day SS mid,314489732.0,372260356.0,343323582.0,353821024.0,347295260.0,346121001.0,332932573.0
Club day_to_day SS floor,303403460.0,347565836.0,326742164.0,318426720.0,342242065.0,343132263.0,314212829.0
Club day_to_day S+ mid,238735178.0,272543298.0,284274809.0,278338756.0,283795046.0,275621617.0,273315578.0
Club day_to_day S+ floor,219805211.0,240378870.0,247926091.0,252721139.0,287237715.0,273110181.0,266208054.0
Club day_to_day S mid,193426240.0,212666904.0,219217320.0,213920206.0,221562570.0,220001186.0,212907298.0
Club day_to_day S floor,165824527.0,192972676.0,202219950.0,201180600.0,207848647.0,212192693.0,214273654.0
Club day_to_day A+ mid,122253240.0,135442868.0,138837679.0,136212347.0,139392214.0,137677971.0,134300850.0
Club day_to_day A+ floor,104042824.0,118116518.0,123991873.0,117876712.0,116405578.0,128064416.0,123975961.0
Club day_to_day A mid,86309505.0,96270324.0,95763799.0,95808660.0,95683457.0,100147303.0,95415060.0
Club day_to_day A floor,74663666.0,79911963.0,82105131.0,80962490.0,78705206.0,87963153.0,83394345.0
Club day_to_day B+ mid,45197746.0,45020480.0,44062184.0,43312920.0,43254438.0,49965870.0,48658861.0
Club day_to_day B+ floor,34974408.0,36527597.0,32508143.0,30298585.0,31800466.0,39071197.0,38072746.0
Club day_to_day B mid,29685407.0,28659922.0,27353213.0,26356964.0,26573388.0,31680306.0,31292460.0
Club day_to_day B floor,23866338.0,22386913.0,21648986.0,21999204.0,21367160.0,25679904.0,23977372.0
Club all_time avg SS mid,314489732.0,343375044.0,343357890.0,345973673.5,346237990.8,346218492.5,344320504.0
Club all_time avg SS floor,303403460.0,325484648.0,325903820.0,324034545.0,327676049.0,330252084.6666667,327960762.4285714
Club all_time avg S+ mid,238735178.0,255639238.0,265184428.33333334,268473010.25,271537417.4,272218117.3333333,272374897.4285714
Club all_time avg S+ floor,219805211.0,230092040.5,236036724.0,240207827.75,249613805.2,253529867.83333334,255341037.2857143
Club all_time avg S mid,193426240.0,203046572.0,208436821.33333334,209807667.5,212158648.0,213465737.66666666,213385960.57142857
Club all_time avg S floor,165824527.0,179398601.5,187005717.66666666,190549438.25,194009280.0,197039848.83333334,199501821.0
Club all_time avg A+ mid,122253240.0,128848054.0,132177929.0,133186533.5,134427669.6,134969386.5,134873881.2857143
Club all_time avg A+ floor,104042824.0,111079671.0,115383738.33333333,116006981.75,116086701.0,118082986.83333333,118924840.28571428
Club all_time avg A mid,86309505.0,91289914.5,92781209.33333333,93538072.0,93967149.0,94997174.66666667,95056872.57142857
Club all_time avg A floor,74663666.0,77287814.5,78893586.66666667,79410812.5,79269691.2,80718601.5,81100850.57142857
Club all_time avg B+ mid,45197746.0,45109113.0,44760136.666666664,44398332.5,44169553.6,45135606.333333336,45638928.428571425
Club all_time avg B+ floor,34974408.0,35751002.5,34670049.333333336,33577183.25,33221839.8,34196732.666666664,34750448.85714286
Club all_time avg B mid,29685407.0,29172664.5,28566180.666666668,28013876.5,27725778.8,28384866.666666668,28800237.14285714
Club all_time avg B floor,23866338.0,23126625.5,22634079.0,22475360.25,22253720.2,22824750.833333332,22989411.0
Club 3_day avg SS mid,314489732.0,343375044.0,343357890.0,356468320.6666667,348146622.0,349079095.0,342116278.0
Club 3_day avg SS floor,303403460.0,325484648.0,325903820.0,330911573.3333333,329136983.0,334600349.3333333,333195719.0
Club 3_day avg S+ mid,238735178.0,255639238.0,265184428.33333334,278385621.0,282136203.6666667,279251806.3333333,277577413.6666667
Club 3_day avg S+ floor,219805211.0,230092040.5,236036724.0,247008700.0,262628315.0,271023011.6666667,275518650.0
Club 3_day avg S mid,193426240.0,203046572.0,208436821.33333334,215268143.33333334,218233365.33333334,218494654.0,218157018.0
Club 3_day avg S floor,165824527.0,179398601.5,187005717.66666666,198791075.33333334,203749732.33333334,207073980.0,211438331.33333334
Club 3_day avg A+ mid,122253240.0,128848054.0,132177929.0,136830964.66666666,138147413.33333334,137760844.0,137123678.33333334
Club 3_day avg A+ floor,104042824.0,111079671.0,115383738.33333333,119995034.33333333,119424721.0,120782235.33333333,122815318.33333333
Club 3_day avg A mid,86309505.0,91289914.5,92781209.33333333,95947594.33333333,95751972.0,97213140.0,97081940.0
Club 3_day avg A floor,74663666.0,77287814.5,78893586.66666667,80993194.66666667,80590942.33333333,82543616.33333333,83354234.66666667
Club 3_day avg B+ mid,45197746.0,45109113.0,44760136.666666664,44131861.333333336,43543180.666666664,45511076.0,47293056.333333336
Club 3_day avg B+ floor,34974408.0,35751002.5,34670049.333333336,33111441.666666668,31535731.333333332,33723416.0,36314803.0
Club 3_day avg B mid,29685407.0,29172664.5,28566180.666666668,27456699.666666668,26761188.333333332,28203552.666666668,29848718.0
Club 3_day avg B floor,23866338.0,23126625.5,22634079.0,22011701.0,21671783.333333332,23015422.666666668,23674812.0
Indiv day_to_day SS mid,10482991.066666666,12408678.533333333,11444119.4,11794034.133333333,11576508.666666666,11537366.7,11097752.433333334
Indiv day_to_day SS floor,10113448.666666666,11585527.866666667,10891405.466666667,10614224.0,11408068.833333334,11437742.1,10473760.966666667
Indiv day_to_day S+ mid,7957839.266666667,9084776.6,9475826.966666667,9277958.533333333,9459834.866666667,9187387.233333332,9110519.266666668
Indiv day_to_day S+ floor,7326840.366666666,8012629.0,8264203.033333333,8424037.966666667,9574590.5,9103672.7,8873601.8
Indiv day_to_day S mid,6447541.333333333,7088896.8,7307244.0,7130673.533333333,7385419.0,7333372.866666666,7096909.933333334
