,8-1,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-17
Club Fans SS Mid,,857694328.0,1346723418.0,1816884626.0,2317683632.0,2801554591.0,3258618974.0,3737868006.0,4216033076.0,4672271072.0,5144556434.0,5585273168.0,6012241414.0,6474495352.0,6942441604.0,7469713419.0,7967529670.0
Club Fans SS Floor,,800600250.0,1260918511.0,1706321166.0,2193763746.0,2633745673.0,3074068969.0,3468682041.0,3873479172.0,4344658648.0,4824899673.0,5259261413.0,5698791726.0,6173641003.0,6605207224.0,7012629235.0,7398522614.0
Club Fans S+ Mid,,681792294.0,1093735966.0,1469303876.0,1843413122.0,2241955180.0,2636765824.0,3001216884.0,3379310528.0,3767747431.0,4156874442.0,4515106078.0,4881465212.0,5259255440.0,5613761210.0,5984005428.0,6277411664.0
Club Fans S+ Floor,,628145041.0,1010188131.0,1371760973.0,1757112528.0,2097865280.0,2473686571.0,2803155294.0,3227521388.0,3568173837.0,3897824704.0,4250269956.0,4621090595.0,4993837152.0,5349901035.0,5683415047.0,6065222749.0
Club Fans S Mid,,486106198.0,784818913.0,1084772964.0,1371126946.0,1651499579.0,1956949092.0,2234359818.0,2524385486.0,2801090780.0,3059062460.0,3339674500.0,3621722245.0,3918918016.0,4176977194.0,4479622044.0,4753116012.0
Club Fans S Floor,,433427061.0,700275624.0,972698221.0,1246647171.0,1521759934.0,1790401063.0,2056499640.0,2318474932.0,2602321491.0,2866330865.0,3139609455.0,3408321756.0,3667459969.0,3946841414.0,4229234594.0,4494758568.0
Club Fans A+ Mid,,263927242.0,421930330.0,582271756.0,738069097.0,890168892.0,1042122988.0,1190101277.0,1331816258.0,1481121934.0,1644063536.0,1795955810.0,1934376396.0,2082773625.0,2226113109.0,2360159622.0,2505443322.0
Club Fans A+ Floor,,218520523.0,349468221.0,481248217.0,613053406.0,744604229.0,873208534.0,1001948829.0,1140036716.0,1283354850.0,1422550165.0,1555751232.0,1688646485.0,1821252486.0,1954349128.0,2084035173.0,2219258605.0
Club Fans A Mid,,169268444.0,271603791.0,374527066.0,471901926.0,568383988.0,663859411.0,756659376.0,848088640.0,949794802.0,1045862103.0,1141436779.0,1236457226.0,1322453207.0,1417219751.0,1509437094.0,1602712948.0
Club Fans A Floor,,135934792.0,216798591.0,297364170.0,378752891.0,459698948.0,539065181.0,619112821.0,696803760.0,780900637.0,866540974.0,952380973.0,1033046997.0,1108013103.0,1187889860.0,1261857206.0,1341758824.0
Club Fans B+ Mid,,70372674.0,109260472.0,146980120.0,185271990.0,220955138.0,256261748.0,290328749.0,324530604.0,361210836.0,396807898.0,433053847.0,468247960.0,502197684.0,534149926.0,566931518.0,600461394.0
Club Fans B+ Floor,,53573497.0,82275551.0,110721082.0,138880198.0,165794176.0,191636835.0,217998611.0,244321177.0,269672571.0,296214117.0,322632877.0,348756567.0,373871587.0,399569035.0,423530722.0,448062852.0
Club Fans B Mid,,43226772.0,66583218.0,89289584.0,111203736.0,132095260.0,152849560.0,173069406.0,193510797.0,213292598.0,233195819.0,253026182.0,273158086.0,292316622.0,312232240.0,331767120.0,351251560.0
Club Fans B Floor,,35612328.0,54518071.0,73009209.0,91083956.0,108192111.0,125257739.0,141949937.0,158396314.0,175096712.0,190672940.0,207133203.0,223545500.0,239861558.0,256008946.0,271470909.0,285937490.0
Club Day-to-Day SS Mid,,,492287808.0,481063843.0,482215957.0,457432858.0,471118552.0,474262514.0,458420389.0,473139358.0,453406432.0,440383302.0,465750972.0,458122260.0,473379279.0,451311421.0,472757284.0
Club Day-to-Day SS Floor,,,449777044.0,446430763.0,455514485.0,441690625.0,445726214.0,465177801.0,453732635.0,440490304.0,425561254.0,393974699.0,406648009.0,449220951.0,407013665.0,407422011.0,408018725.0
Club Day-to-Day S+ Mid,,,395131296.0,379611029.0,391439210.0,388886806.0,400550671.0,375681551.0,392635950.0,381242206.0,388766452.0,371468671.0,362867297.0,377236371.0,363223897.0,367909150.0,360284941.0
Club Day-to-Day S+ Floor,,,369347837.0,376245308.0,371504705.0,373765228.0,355572012.0,357857167.0,355275756.0,364414170.0,369571877.0,346066299.0,332859142.0,349897425.0,360356793.0,350109652.0,329880536.0
Club Day-to-Day S Mid,,,297476584.0,292326161.0,292339932.0,290066558.0,293406012.0,277421662.0,286424606.0,296600398.0,294495012.0,284891944.0,277930868.0,276474152.0,280916835.0,277763045.0,280526842.0
Club Day-to-Day S Floor,,,272821346.0,264644748.0,269616502.0,273230678.0,266033975.0,252441380.0,261975292.0,277402537.0,268610817.0,267375310.0,268712301.0,263749544.0,283399601.0,268185542.0,273717387.0
Club Day-to-Day A+ Mid,,,160879152.0,161883879.0,158377428.0,153776113.0,150077497.0,149105332.0,151902028.0,157845217.0,157469387.0,152289238.0,147404530.0,144938433.0,143999694.0,145136975.0,147461012.0
Club Day-to-Day A+ Floor,,,128425841.0,128575673.0,133846929.0,132924699.0,128856044.0,127707864.0,135239873.0,140889536.0,133871617.0,133862214.0,129233016.0,128137492.0,124662283.0,127936793.0,136637776.0
Club Day-to-Day A Mid,,,101568902.0,102432972.0,101762800.0,99020622.0,95051808.0,92570738.0,96216918.0,99197770.0,100525143.0,99484374.0,93658782.0,92583122.0,91961365.0,92464592.0,93007299.0
Club Day-to-Day A Floor,,,79650967.0,78821446.0,79075746.0,77216685.0,79851114.0,76586801.0,79073482.0,80846170.0,82464463.0,79865602.0,77988827.0,75885317.0,74754891.0,74516301.0,78071371.0
Club Day-to-Day B+ Mid,,,39114579.0,38407628.0,38184790.0,36745740.0,35509550.0,35739226.0,35841450.0,36634491.0,35651548.0,36392271.0,35870200.0,34868550.0,34304699.0,34402524.0,34497465.0
Club Day-to-Day B+ Floor,,,29634357.0,28193202.0,27792619.0,25618646.0,25780876.0,25902389.0,25564145.0,25615694.0,26042823.0,26003014.0,25190240.0,24731832.0,25147668.0,22907843.0,24489260.0
Club Day-to-Day B Mid,,,23256316.0,22425215.0,22102575.0,20960848.0,20426055.0,20508277.0,20285019.0,20227274.0,19645619.0,20351241.0,20417938.0,19907516.0,19618813.0,19393997.0,19188266.0
Club Day-to-Day B Floor,,,18130378.0,17883993.0,18507618.0,16664069.0,16851346.0,16517730.0,16768316.0,15699042.0,15382927.0,16852235.0,16730098.0,16343294.0,15204513.0,14159003.0,14597654.0
Club All-Time Avg SS Mid,,,492287808.0,486675825.5,485189202.6666667,478250116.5,476823803.6,476396922.0,473828845.85714287,473742659.875,471483079.0,468373101.3,468134725.90909094,467300353.75,467767963.38461536,466592496.0714286,467003481.93333334
